,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,"2. After 2012, Before 2015",Wollongong,"(12.9, 17.3]","(20.58, 24.1]","(-0.001, 1.72]",-999999999,-999999999,SE,"(41.0, 50.0]",WSW,S,"(7.0, 11.0]","(26.0, 52.0]","(54.0, 66.0]","(72.0, 100.0]","(1019.64, 1024.7]","(1022.2, 1034.4]",-999999999,-999999999,"(17.6, 22.5]","(15.8, 19.1]",No,No
1,1. Before 2012,Hobart,"(-6.801, 6.6]","(-0.801, 16.9]","(-0.001, 1.72]","(0.199, 2.2]","(6.68, 9.12]",NNW,"(8.999, 30.0]",N,NNW,"(7.0, 11.0]","(-0.001, 11.0]","(66.0, 75.0]","(33.0, 46.0]","(1024.7, 1038.2]","(1022.2, 1034.4]","(-0.001, 1.0]","(1.0, 4.0]","(-2.8009999999999997, 11.9]","(-2.901, 15.8]",No,No
2,1. Before 2012,MountGambier,"(10.0, 12.9]","(24.1, 28.9]","(-0.001, 1.72]","(4.0, 5.8]","(-0.001, 3.14]",SSW,"(8.999, 30.0]",E,NW,"(-0.001, 7.0]","(15.8, 20.0]","(86.0, 100.0]","(33.0, 46.0]","(993.799, 1011.86]","(987.599, 1009.58]","(5.0, 7.0]","(7.0, 8.0]","(14.9, 17.6]","(22.6, 27.3]",No,Yes
3,"2. After 2012, Before 2015",WaggaWagga,"(-6.801, 6.6]","(-0.801, 16.9]","(-0.001, 1.72]","(2.2, 4.0]","(3.14, 6.68]",WSW,"(41.0, 50.0]",NNW,WSW,"(7.0, 11.0]","(26.0, 52.0]","(75.0, 86.0]","(46.0, 58.0]","(1019.64, 1024.7]","(1017.48, 1022.2]","(5.0, 7.0]","(4.0, 6.0]","(-2.8009999999999997, 11.9]","(-2.901, 15.8]",No,No
4,1. Before 2012,PerthAirport,"(17.3, 27.6]","(28.9, 41.6]","(-0.001, 1.72]","(8.0, 34.4]","(10.9, 14.1]",ENE,"(41.0, 50.0]",E,SW,"(15.0, 20.0]","(26.0, 52.0]","(10.999, 54.0]","(33.0, 46.0]","(993.799, 1011.86]","(987.599, 1009.58]","(-0.001, 1.0]","(6.0, 7.0]","(22.5, 32.9]","(27.3, 40.6]",No,No
5,"2. After 2012, Before 2015",Watsonia,"(6.6, 10.0]","(24.1, 28.9]","(-0.001, 1.72]","(4.0, 5.8]","(10.9, 14.1]",WSW,"(8.999, 30.0]",S,SSW,"(-0.001, 7.0]","(-0.001, 11.0]","(86.0, 100.0]","(33.0, 46.0]","(1019.64, 1024.7]","(1017.48, 1022.2]","(5.0, 7.0]","(-0.001, 1.0]","(11.9, 14.9]","(22.6, 27.3]",No,No
6,"2. After 2012, Before 2015",Cairns,"(17.3, 27.6]","(28.9, 41.6]","(-0.001, 1.72]","(5.8, 8.0]","(6.68, 9.12]",ENE,"(35.0, 41.0]",SSE,NE,"(11.0, 15.0]","(15.8, 20.0]","(66.0, 75.0]","(58.0, 72.0]","(1011.86, 1015.9]","(1009.58, 1013.3]","(5.0, 7.0]","(1.0, 4.0]","(22.5, 32.9]","(27.3, 40.6]",No,No
7,3. After 2015,Perth,"(12.9, 17.3]","(28.9, 41.6]","(-0.001, 1.72]","(5.8, 8.0]","(10.9, 14.1]",SW,"(30.0, 35.0]",ENE,WSW,"(7.0, 11.0]","(11.0, 15.8]","(10.999, 54.0]","(2.999, 33.0]","(1015.9, 1019.64]","(1009.58, 1013.3]","(-0.001, 1.0]","(-0.001, 1.0]","(22.5, 32.9]","(27.3, 40.6]",No,No
8,3. After 2015,Albany,"(6.6, 10.0]","(-0.801, 16.9]","(-0.001, 1.72]","(0.199, 2.2]","(3.14, 6.68]",,-999999999,SSW,,"(-0.001, 7.0]",-999999999,"(66.0, 75.0]",-999999999,"(1024.7, 1038.2]","(1022.2, 1034.4]","(5.0, 7.0]",-999999999,"(11.9, 14.9]",-999999999,No,No
9,3. After 2015,NorahHead,"(17.3, 27.6]","(24.1, 28.9]","(-0.001, 1.72]",-999999999,-999999999,NE,"(41.0, 50.0]",NNE,NE,"(7.0, 11.0]","(26.0, 52.0]","(75.0, 86.0]","(72.0, 100.0]","(1011.86, 1015.9]","(1009.58, 1013.3]",-999999999,-999999999,"(22.5, 32.9]","(22.6, 27.3]",No,Yes
