,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,"2. After 2012, Before 2015",Wollongong,15.6,21.9,0.2,-999999999.0,-999999999.0,SE,46.0,WSW,S,11.0,30.0,58.0,73.0,1021.5,1022.6,-999999999.0,-999999999.0,19.6,18.7,No,No
1,1. Before 2012,Hobart,1.7,12.3,0.4,1.4,8.0,NNW,30.0,N,NNW,11.0,11.0,75.0,38.0,1026.0,1022.4,1.0,3.0,4.2,12.2,No,No
2,1. Before 2012,MountGambier,11.7,28.0,0.0,5.2,0.9,SSW,26.0,E,NW,6.0,17.0,89.0,42.0,1009.8,1008.0,7.0,8.0,17.2,26.5,No,Yes
3,"2. After 2012, Before 2015",WaggaWagga,0.4,11.8,0.0,2.6,4.1,WSW,48.0,NNW,WSW,9.0,35.0,86.0,54.0,1020.8,1017.6,6.0,5.0,5.6,11.3,No,No
4,1. Before 2012,PerthAirport,18.6,32.6,0.0,12.8,11.7,ENE,44.0,E,SW,17.0,28.0,44.0,36.0,1006.6,1003.2,0.0,7.0,25.1,29.8,No,No
5,"2. After 2012, Before 2015",Watsonia,9.0,24.8,0.0,4.2,11.0,WSW,28.0,S,SSW,2.0,7.0,89.0,44.0,1020.6,1018.4,7.0,1.0,12.9,23.1,No,No
6,"2. After 2012, Before 2015",Cairns,24.7,31.5,0.0,8.0,8.2,ENE,41.0,SSE,NE,15.0,17.0,74.0,61.0,1013.4,1009.9,7.0,2.0,27.3,29.8,No,No
7,3. After 2015,Perth,14.1,37.0,0.0,6.6,12.8,SW,31.0,ENE,WSW,11.0,15.0,45.0,30.0,1017.8,1012.7,0.0,0.0,25.6,33.8,No,No
8,3. After 2015,Albany,9.4,16.0,0.0,1.4,3.9,NA,-999999999.0,SSW,NA,2.0,-999999999.0,75.0,-999999999.0,1026.6,1023.2,7.0,-999999999.0,12.1,-999999999.0,No,No
9,3. After 2015,NorahHead,20.8,28.5,0.0,-999999999.0,-999999999.0,NE,44.0,NNE,NE,11.0,31.0,79.0,80.0,1014.7,1011.5,-999999999.0,-999999999.0,24.1,25.5,No,Yes
10,3. After 2015,MountGinini,0.3,12.3,0.0,-999999999.0,-999999999.0,WNW,37.0,W,W,20.0,17.0,98.0,54.0,-999999999.0,-999999999.0,-999999999.0,-999999999.0,4.2,11.3,No,No
11,1. Before 2012,Bendigo,2.6,15.5,0.0,1.8,-999999999.0,SE,37.0,SSE,SSE,17.0,20.0,78.0,52.0,1027.3,1025.4,1.0,1.0,9.2,14.5,No,No
12,"2. After 2012, Before 2015",Watsonia,9.1,20.2,0.0,1.0,10.0,NNW,33.0,NE,NNW,6.0,17.0,99.0,48.0,1026.4,1021.9,1.0,1.0,11.3,20.1,No,No
13,3. After 2015,Cairns,20.1,28.1,3.0,4.2,5.2,SE,48.0,S,SE,19.0,31.0,82.0,67.0,1017.0,1015.1,8.0,5.0,23.0,26.1,Yes,Yes
14,3. After 2015,GoldCoast,24.8,30.8,0.0,-999999999.0,-999999999.0,SSE,78.0,ESE,SSE,15.0,35.0,71.0,79.0,1009.6,1008.3,-999999999.0,-999999999.0,27.1,26.9,No,Yes
15,1. Before 2012,Wollongong,13.7,19.6,2.8,-999999999.0,-999999999.0,SSW,30.0,S,SE,24.0,15.0,79.0,68.0,1022.6,1021.0,7.0,6.0,16.1,19.0,Yes,No
17,3. After 2015,NorahHead,9.5,17.9,0.6,-999999999.0,-999999999.0,W,24.0,WNW,SW,9.0,6.0,58.0,40.0,1017.1,1016.5,-999999999.0,-999999999.0,13.0,16.9,No,No
18,1. Before 2012,PerthAirport,9.3,24.5,0.0,4.2,9.3,ESE,39.0,S,WSW,17.0,17.0,69.0,35.0,1025.4,1022.2,1.0,0.0,16.5,24.1,No,No
