,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,1,47,15.6,21.9,0.2,,,9,46.0,15,8,11.0,30.0,58.0,73.0,1021.5,1022.6,,,19.6,18.7,0,0
1,0,15,1.7,12.3,0.4,1.4,8.0,6,30.0,3,6,11.0,11.0,75.0,38.0,1026.0,1022.4,1.0,3.0,4.2,12.2,0,0
2,0,22,11.7,28.0,0.0,5.2,0.9,11,26.0,0,7,6.0,17.0,89.0,42.0,1009.8,1008.0,7.0,8.0,17.2,26.5,0,1
3,1,42,0.4,11.8,0.0,2.6,4.1,15,48.0,6,15,9.0,35.0,86.0,54.0,1020.8,1017.6,6.0,5.0,5.6,11.3,0,0
4,0,32,18.6,32.6,0.0,12.8,11.7,1,44.0,0,12,17.0,28.0,44.0,36.0,1006.6,1003.2,0.0,7.0,25.1,29.8,0,0
5,1,44,9.0,24.8,0.0,4.2,11.0,15,28.0,8,11,2.0,7.0,89.0,44.0,1020.6,1018.4,7.0,1.0,12.9,23.1,0,0
6,1,8,24.7,31.5,0.0,8.0,8.2,1,41.0,10,4,15.0,17.0,74.0,61.0,1013.4,1009.9,7.0,2.0,27.3,29.8,0,0
7,2,31,14.1,37.0,0.0,6.6,12.8,12,31.0,1,15,11.0,15.0,45.0,30.0,1017.8,1012.7,0.0,0.0,25.6,33.8,0,0
8,2,1,9.4,16.0,0.0,1.4,3.9,16,,11,16,2.0,,75.0,,1026.6,1023.2,7.0,,12.1,,0,0
9,2,26,20.8,28.5,0.0,,,4,44.0,5,4,11.0,31.0,79.0,80.0,1014.7,1011.5,,,24.1,25.5,0,1
10,2,23,0.3,12.3,0.0,,,14,37.0,13,13,20.0,17.0,98.0,54.0,,,,,4.2,11.3,0,0
11,0,6,2.6,15.5,0.0,1.8,,9,37.0,10,10,17.0,20.0,78.0,52.0,1027.3,1025.4,1.0,1.0,9.2,14.5,0,0
12,1,44,9.1,20.2,0.0,1.0,10.0,6,33.0,4,6,6.0,17.0,99.0,48.0,1026.4,1021.9,1.0,1.0,11.3,20.1,0,0
13,2,8,20.1,28.1,3.0,4.2,5.2,9,48.0,8,9,19.0,31.0,82.0,67.0,1017.0,1015.1,8.0,5.0,23.0,26.1,1,1
14,2,14,24.8,30.8,0.0,,,10,78.0,2,10,15.0,35.0,71.0,79.0,1009.6,1008.3,,,27.1,26.9,0,1
15,0,47,13.7,19.6,2.8,,,11,30.0,8,9,24.0,15.0,79.0,68.0,1022.6,1021.0,7.0,6.0,16.1,19.0,1,0
17,2,26,9.5,17.9,0.6,,,13,24.0,14,12,9.0,6.0,58.0,40.0,1017.1,1016.5,,,13.0,16.9,0,0
18,0,32,9.3,24.5,0.0,4.2,9.3,2,39.0,8,15,17.0,17.0,69.0,35.0,1025.4,1022.2,1.0,0.0,16.5,24.1,0,0
19,1,9,12.6,30.2,0.0,,,13,50.0,14,14,24.0,28.0,35.0,30.0,1008.5,1008.5,,,24.5,30.1,0,0
