Variable,Metric,"(2008-04-23 23:59:59.999999999, 2010-05-07]","(2010-05-07, 2012-04-22]","(2012-04-22, 2014-03-22]","(2014-03-22, 2015-10-03]","(2015-10-03, 2017-06-12]"
Location,psi,,0.53878,0.48152,0.44836,0.59235
MinTemp,psi,,0.06386,0.17915,0.1784,0.10409
Rainfall,psi,,0.00421,0.01128,0.03582,0.10592
Evaporation,psi,,0.02686,0.01792,0.07654,0.25955
Sunshine,psi,,0.04428,0.01886,0.07528,0.46514
WindGustDir,psi,,0.41863,0.17599,0.37155,0.41938
WindGustSpeed,psi,,0.15807,0.08245,0.14077,0.10517
WindDir9am,psi,,0.49723,0.49041,0.23831,0.33741
WindDir3pm,psi,,0.22117,0.27246,0.39155,0.36941
WindSpeed9am,psi,,0.02167,0.01849,0.04568,0.03459
WindSpeed3pm,psi,,0.06865,0.01903,0.0255,0.05534
Humidity9am,psi,,0.11749,0.16095,0.26826,0.27066
Humidity3pm,psi,,0.0794,0.31028,0.37425,0.11247
Pressure9am,psi,,0.14554,0.18686,0.23127,0.15929
Pressure3pm,psi,,0.29575,0.18771,0.16037,0.23872
Cloud9am,psi,,0.01462,0.15286,0.07504,0.11954
Cloud3pm,psi,,0.05797,0.04789,0.01125,0.10488
Temp9am,psi,,0.01579,0.03545,0.05526,0.07909
Temp3pm,psi,,0.03514,0.09553,0.12153,0.09938
RainToday,psi,,0.02175,0.16275,0.10936,0.1293
RainTomorrow,psi,,0.00227,0.06747,0.06914,0.02515
