,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
0,2014-05-11,Wollongong,15.6,21.9,0.2,,,SE,46.0,WSW,S,11.0,30.0,58.0,73.0,1021.5,1022.6,,,19.6,18.7,No,No
1,2010-08-07,Hobart,1.7,12.3,0.4,1.4,8.0,NNW,30.0,N,NNW,11.0,11.0,75.0,38.0,1026.0,1022.4,1.0,3.0,4.2,12.2,No,No
2,2011-02-26,MountGambier,11.7,28.0,0.0,5.2,0.9,SSW,26.0,E,NW,6.0,17.0,89.0,42.0,1009.8,1008.0,7.0,8.0,17.2,26.5,No,Yes
3,2012-08-31,WaggaWagga,0.4,11.8,0.0,2.6,4.1,WSW,48.0,NNW,WSW,9.0,35.0,86.0,54.0,1020.8,1017.6,6.0,5.0,5.6,11.3,No,No
4,2009-12-22,PerthAirport,18.6,32.6,0.0,12.8,11.7,ENE,44.0,E,SW,17.0,28.0,44.0,36.0,1006.6,1003.2,0.0,7.0,25.1,29.8,No,No
5,2012-03-12,Watsonia,9.0,24.8,0.0,4.2,11.0,WSW,28.0,S,SSW,2.0,7.0,89.0,44.0,1020.6,1018.4,7.0,1.0,12.9,23.1,No,No
6,2012-11-22,Cairns,24.7,31.5,0.0,8.0,8.2,ENE,41.0,SSE,NE,15.0,17.0,74.0,61.0,1013.4,1009.9,7.0,2.0,27.3,29.8,No,No
7,2016-11-05,Perth,14.1,37.0,0.0,6.6,12.8,SW,31.0,ENE,WSW,11.0,15.0,45.0,30.0,1017.8,1012.7,0.0,0.0,25.6,33.8,No,No
8,2015-09-03,Albany,9.4,16.0,0.0,1.4,3.9,,,SSW,,2.0,,75.0,,1026.6,1023.2,7.0,,12.1,,No,No
9,2015-01-01,NorahHead,20.8,28.5,0.0,,,NE,44.0,NNE,NE,11.0,31.0,79.0,80.0,1014.7,1011.5,,,24.1,25.5,No,Yes
10,2015-09-11,MountGinini,0.3,12.3,0.0,,,WNW,37.0,W,W,20.0,17.0,98.0,54.0,,,,,4.2,11.3,No,No
11,2011-06-14,Bendigo,2.6,15.5,0.0,1.8,,SE,37.0,SSE,SSE,17.0,20.0,78.0,52.0,1027.3,1025.4,1.0,1.0,9.2,14.5,No,No
12,2014-08-30,Watsonia,9.1,20.2,0.0,1.0,10.0,NNW,33.0,NE,NNW,6.0,17.0,99.0,48.0,1026.4,1021.9,1.0,1.0,11.3,20.1,No,No
13,2015-06-09,Cairns,20.1,28.1,3.0,4.2,5.2,SE,48.0,S,SE,19.0,31.0,82.0,67.0,1017.0,1015.1,8.0,5.0,23.0,26.1,Yes,Yes
14,2015-01-19,GoldCoast,24.8,30.8,0.0,,,SSE,78.0,ESE,SSE,15.0,35.0,71.0,79.0,1009.6,1008.3,,,27.1,26.9,No,Yes
15,2010-10-28,Wollongong,13.7,19.6,2.8,,,SSW,30.0,S,SE,24.0,15.0,79.0,68.0,1022.6,1021.0,7.0,6.0,16.1,19.0,Yes,No
16,2014-09-03,Ballarat,3.3,11.0,,,,,,S,SSE,19.0,13.0,80.0,58.0,1023.5,1020.7,8.0,6.0,6.6,10.4,,
17,2016-05-29,NorahHead,9.5,17.9,0.6,,,W,24.0,WNW,SW,9.0,6.0,58.0,40.0,1017.1,1016.5,,,13.0,16.9,No,No
18,2009-04-30,PerthAirport,9.3,24.5,0.0,4.2,9.3,ESE,39.0,S,WSW,17.0,17.0,69.0,35.0,1025.4,1022.2,1.0,0.0,16.5,24.1,No,No
19,2014-11-21,Canberra,12.6,30.2,0.0,,,W,50.0,WNW,WNW,24.0,28.0,35.0,30.0,1008.5,1008.5,,,24.5,30.1,No,No
20,2009-07-20,Brisbane,8.1,22.9,0.0,1.8,9.6,NNE,19.0,S,NE,2.0,9.0,58.0,48.0,1027.4,1023.8,1.0,1.0,14.3,21.6,No,No
21,2014-02-22,Melbourne,14.2,20.2,,4.8,1.6,SSE,41.0,SW,S,17.0,31.0,87.0,56.0,1024.0,1024.2,,,15.4,19.6,,
22,2015-07-02,SydneyAirport,6.1,17.2,0.0,3.0,8.1,W,69.0,WNW,W,19.0,33.0,55.0,37.0,1020.0,1016.9,7.0,1.0,10.5,16.3,No,No
23,2012-09-25,Hobart,6.4,13.7,0.4,3.6,2.5,NW,44.0,NNW,NW,24.0,28.0,59.0,52.0,1016.7,1016.6,,,11.4,13.1,No,No
24,2014-12-18,Townsville,26.1,32.0,0.0,10.0,11.6,NNE,37.0,NNW,N,20.0,24.0,54.0,48.0,1011.9,1009.0,3.0,2.0,30.3,30.8,No,No
25,2009-02-01,WaggaWagga,26.9,41.6,0.0,13.6,11.2,ENE,63.0,NE,ENE,19.0,20.0,26.0,11.0,1012.6,1009.7,1.0,2.0,32.9,40.6,No,No
26,2009-01-01,Townsville,24.8,31.9,1.4,6.4,4.8,NNW,39.0,NNW,N,2.0,19.0,77.0,69.0,1008.0,1005.4,7.0,7.0,28.8,29.9,Yes,No
27,2017-04-25,Walpole,9.4,19.2,1.0,,,NW,22.0,WNW,SSE,6.0,7.0,88.0,75.0,1026.1,1025.0,,,15.1,17.6,No,No
28,2012-07-21,Darwin,17.8,29.7,0.0,7.6,11.5,SE,50.0,SE,SSE,30.0,19.0,22.0,10.0,1017.4,1012.7,0.0,0.0,20.1,28.3,No,No
29,2009-09-13,BadgerysCreek,4.4,30.6,0.0,,,NW,50.0,N,WNW,9.0,28.0,42.0,14.0,1019.8,1015.8,,,19.6,30.1,No,No
30,2012-09-04,Cobar,8.7,25.7,0.0,5.8,,N,30.0,NNE,N,19.0,17.0,21.0,9.0,1023.5,1018.5,0.0,0.0,17.8,25.0,No,No
31,2010-04-12,Witchcliffe,12.1,18.5,12.8,,,W,37.0,NW,NW,9.0,17.0,80.0,53.0,1006.7,1006.5,,,15.0,17.6,Yes,No
32,2016-02-24,Perth,12.5,24.0,0.2,8.2,12.0,SW,43.0,SE,SSW,11.0,20.0,55.0,41.0,1019.0,1016.8,2.0,1.0,19.1,22.1,No,No
33,2009-10-08,Williamtown,10.3,18.2,0.0,8.4,4.5,SSW,78.0,SW,SSW,31.0,50.0,51.0,51.0,1016.4,1018.3,7.0,5.0,13.5,16.6,No,Yes
34,2016-10-29,Katherine,25.0,40.2,0.0,8.0,,E,35.0,WNW,ESE,17.0,15.0,56.0,,1012.0,1005.8,3.0,,31.4,,No,No
35,2016-11-15,Dartmoor,10.0,16.8,0.8,,,W,30.0,W,SW,6.0,19.0,90.0,74.0,1021.5,1021.4,,,12.2,16.0,No,No
36,2016-03-24,Hobart,8.5,18.8,0.0,3.6,10.8,SE,30.0,NNW,SE,13.0,17.0,66.0,43.0,1020.4,1017.0,5.0,1.0,12.3,18.6,No,No
37,2015-03-21,CoffsHarbour,22.1,23.6,0.0,,,SSW,61.0,SW,SW,31.0,24.0,77.0,92.0,1020.1,1019.7,8.0,8.0,22.9,22.0,No,Yes
38,2015-11-27,Walpole,11.9,18.0,0.6,,,SE,41.0,SE,SE,20.0,20.0,92.0,77.0,1016.7,1015.9,,,15.7,16.7,No,No
39,2012-06-21,PerthAirport,1.5,16.0,12.2,0.4,8.8,SE,26.0,SSE,SSE,7.0,15.0,91.0,45.0,1028.5,1028.6,1.0,3.0,7.2,15.4,Yes,No
40,2016-04-19,BadgerysCreek,14.4,25.9,1.4,,,E,24.0,SW,ESE,7.0,11.0,88.0,63.0,1021.9,1019.5,,,19.1,23.8,Yes,No
41,2015-06-19,Canberra,2.2,11.2,5.6,,,S,37.0,SSE,SSE,17.0,15.0,70.0,57.0,1020.6,1019.7,,8.0,7.4,10.2,Yes,No
42,2016-06-02,Walpole,7.1,,0.2,,,,,NE,NE,13.0,13.0,84.0,54.0,1022.6,1017.8,,,10.5,17.5,No,
43,2010-10-23,Mildura,14.1,20.4,3.2,10.0,8.9,SSW,33.0,SSW,SSW,13.0,19.0,94.0,45.0,1019.6,1020.0,7.0,5.0,14.4,18.9,Yes,No
44,2017-04-02,Canberra,9.1,20.4,0.0,,,,,SSE,NE,13.0,13.0,61.0,41.0,1026.8,1024.8,,5.0,15.1,19.5,No,No
45,2011-11-20,Tuggeranong,17.0,19.5,5.0,,,NW,35.0,N,NNW,9.0,11.0,79.0,79.0,1010.4,1011.3,,,19.3,16.3,Yes,Yes
46,2017-06-02,Walpole,12.8,21.7,0.0,,,NW,31.0,NNW,NW,6.0,17.0,76.0,64.0,1022.8,1021.1,,,17.4,20.4,No,Yes
47,2008-04-24,Sydney,14.7,20.0,15.6,1.6,2.5,,,S,S,19.0,20.0,93.0,80.0,1021.3,1018.6,7.0,7.0,16.8,19.3,Yes,Yes
48,2008-10-14,Adelaide,9.0,18.4,0.0,5.0,6.2,SW,37.0,SSE,SW,15.0,19.0,44.0,38.0,1027.2,1026.2,,,13.3,17.6,No,No
49,2009-10-21,Canberra,3.9,29.1,0.0,7.2,,,,,,,,54.0,17.0,,,,,14.7,28.0,No,No
50,2013-12-09,Williamtown,15.1,34.7,0.0,6.8,9.3,N,37.0,NNW,NE,11.0,13.0,57.0,29.0,1010.3,1004.8,5.0,4.0,23.2,33.6,No,No
51,2010-09-22,Ballarat,6.3,11.0,0.0,,,S,35.0,S,S,24.0,22.0,82.0,70.0,1028.3,1026.6,6.0,8.0,8.4,10.1,No,No
52,2013-03-31,Portland,13.4,18.3,2.8,1.8,3.6,W,54.0,SW,WSW,11.0,20.0,74.0,59.0,1015.0,1016.2,8.0,8.0,13.8,16.1,Yes,No
53,2015-04-09,Moree,8.3,23.9,0.0,3.6,,SW,28.0,SSE,SW,13.0,13.0,67.0,40.0,1021.7,1017.9,1.0,1.0,16.0,22.8,No,No
54,2010-08-21,WaggaWagga,4.3,12.4,0.2,2.2,6.9,W,43.0,WNW,W,9.0,26.0,85.0,56.0,1019.5,1018.3,7.0,3.0,7.1,12.2,No,No
55,2011-08-12,PerthAirport,7.3,22.0,0.0,2.6,9.7,ENE,41.0,ENE,NNE,22.0,19.0,55.0,47.0,1015.0,1010.9,0.0,4.0,13.4,21.7,No,No
56,2016-10-25,Penrith,8.3,29.1,0.0,,,W,39.0,SE,N,2.0,9.0,63.0,25.0,,,,,15.4,27.1,No,No
57,2008-12-13,Wollongong,16.1,31.6,48.4,,,NW,91.0,N,W,22.0,30.0,84.0,30.0,994.0,990.7,,,22.5,31.2,Yes,No
58,2015-10-03,Bendigo,7.9,31.4,0.0,,,N,44.0,N,NW,7.0,26.0,42.0,12.0,1030.3,1022.9,,,18.7,31.1,No,No
59,2012-11-09,Nuriootpa,3.2,20.8,0.0,6.8,12.4,WSW,37.0,SW,W,20.0,17.0,52.0,33.0,1024.7,1022.4,6.0,3.0,12.7,19.9,No,No
60,2013-12-15,Portland,9.1,17.2,0.0,6.4,10.9,W,30.0,WSW,SW,11.0,15.0,75.0,71.0,1022.4,1021.4,8.0,7.0,14.2,15.8,No,No
61,2014-03-22,Moree,17.2,31.8,0.0,,,NE,37.0,ENE,N,20.0,11.0,67.0,33.0,1017.9,1014.7,,,22.4,30.7,No,No
62,2010-04-13,Albany,12.2,22.6,5.8,2.4,9.0,,,NNE,ESE,7.0,24.0,84.0,76.0,1010.6,1006.6,6.0,1.0,15.5,21.0,Yes,Yes
63,2014-12-05,SydneyAirport,19.5,29.3,21.4,11.0,6.9,SW,41.0,NW,ENE,20.0,26.0,62.0,41.0,1008.3,1005.4,7.0,5.0,24.2,28.1,Yes,No
64,2010-05-04,Dartmoor,9.8,14.0,2.6,3.2,2.7,WNW,50.0,NNW,NNW,15.0,17.0,95.0,89.0,1010.5,1008.5,,,12.5,11.9,Yes,Yes
65,2009-10-04,Walpole,8.4,13.8,0.0,,,SSW,28.0,SSW,SSW,6.0,13.0,76.0,76.0,1027.0,1026.4,,,12.3,12.1,No,No
66,2008-12-09,Launceston,10.7,17.5,0.8,6.0,,NNW,39.0,NNW,N,13.0,24.0,93.0,63.0,1005.4,1002.8,,,12.6,16.3,No,No
67,2012-10-22,SalmonGums,10.9,29.1,0.0,,,S,39.0,NW,S,6.0,17.0,44.0,47.0,,,,,22.7,22.2,No,Yes
68,2015-05-04,PearceRAAF,9.3,17.8,3.4,,7.9,WSW,69.0,ENE,SSW,4.0,17.0,70.0,55.0,1022.4,1023.6,5.0,5.0,13.1,16.8,Yes,No
69,2009-04-17,Woomera,12.8,25.9,0.0,6.4,10.6,S,31.0,SE,SSW,13.0,15.0,52.0,26.0,1019.8,1017.7,1.0,0.0,17.7,25.2,No,No
70,2009-07-10,Dartmoor,4.5,12.8,0.2,2.4,0.1,N,50.0,NNE,NNE,26.0,20.0,71.0,82.0,1018.7,1012.9,,,11.3,11.5,No,Yes
71,2009-04-07,Williamtown,14.5,20.8,3.4,3.4,1.7,SE,26.0,SSW,SE,13.0,15.0,97.0,65.0,1024.7,1023.2,7.0,6.0,16.6,20.3,Yes,No
72,2011-07-22,Launceston,3.1,12.3,0.1,,,SSE,31.0,SE,SSE,11.0,13.0,80.0,55.0,1031.6,1028.8,,,6.3,11.6,No,No
73,2008-07-02,Brisbane,8.1,22.9,0.0,2.0,9.8,W,30.0,W,WNW,15.0,19.0,41.0,30.0,1018.8,1015.0,0.0,0.0,16.2,22.4,No,No
